TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
OKC,10/16/2018,OKC @ GSW,L,240,100,33,91,36.3,10,37,27,24,37,64.9,16,29,45,21,12,6,14,21,-8
PHI,10/16/2018,PHI @ BOS,L,239,87,34,87,39.1,5,26,19.2,14,23,60.9,6,41,47,18,8,5,16,20,-18
BOS,10/16/2018,BOS vs. PHI,W,240,105,42,97,43.3,11,37,29.7,10,14,71.4,12,43,55,21,7,5,14,20,18
GSW,10/16/2018,GSW vs. OKC,W,241,108,42,95,44.2,7,26,26.9,17,18,94.4,17,41,58,28,7,7,21,29,8
DET,10/17/2018,DET vs. BKN,W,240,103,39,92,42.4,6,24,25,19,22,86.4,14,32,46,21,5,5,14,20,3
DAL,10/17/2018,DAL @ PHX,L,240,100,38,88,43.2,10,33,30.3,14,20,70,10,28,38,28,7,5,9,16,-21
CHA,10/17/2018,CHA vs. MIL,L,241,112,41,92,44.6,16,38,42.1,14,22,63.6,9,32,41,21,8,9,11,19,-1
NYK,10/17/2018,NYK vs. ATL,W,240,126,45,99,45.5,12,33,36.4,24,31,77.4,10,36,46,21,12,6,15,23,19
SAS,10/17/2018,SAS vs. MIN,W,241,112,40,93,43,11,25,44,21,29,72.4,19,33,52,22,3,4,12,22,4
MEM,10/17/2018,MEM @ IND,L,240,83,25,84,29.8,10,29,34.5,23,28,82.1,7,21,28,16,11,3,7,18,-28
HOU,10/17/2018,HOU vs. NOP,L,240,112,39,92,42.4,16,48,33.3,18,24,75,8,29,37,21,8,7,11,22,-19
BKN,10/17/2018,BKN @ DET,L,240,100,40,82,48.8,5,27,18.5,15,22,68.2,5,34,39,28,9,5,17,23,-3
MIA,10/17/2018,MIA @ ORL,L,241,101,38,97,39.2,9,33,27.3,16,22,72.7,14,38,52,16,4,5,16,28,-3
PHX,10/17/2018,PHX vs. DAL,W,240,121,44,81,54.3,19,34,55.9,14,16,87.5,6,38,44,35,5,2,11,22,21
NOP,10/17/2018,NOP @ HOU,W,242,131,52,98,53.1,10,25,40,17,22,77.3,14,40,54,36,8,3,12,25,19
MIN,10/17/2018,MIN @ SAS,L,240,108,39,91,42.9,6,19,31.6,24,27,88.9,14,32,46,20,9,2,11,27,-4
UTA,10/17/2018,UTA @ SAC,W,240,123,41,79,51.9,13,27,48.1,28,38,73.7,5,39,44,21,8,4,17,19,6
SAC,10/17/2018,SAC vs. UTA,L,240,117,49,95,51.6,7,19,36.8,12,18,66.7,5,32,37,17,8,3,9,27,-6
DEN,10/17/2018,DEN @ LAC,W,240,107,33,87,37.9,8,24,33.3,33,42,78.6,14,42,56,20,6,9,10,22,9
ORL,10/17/2018,ORL vs. MIA,W,240,104,39,94,41.5,7,25,28,19,31,61.3,14,37,51,20,7,7,12,25,3
CLE,10/17/2018,CLE @ TOR,L,239,104,34,85,40,7,19,36.8,29,39,74.4,14,35,49,17,4,0,16,25,-12
TOR,10/17/2018,TOR vs. CLE,W,239,116,45,92,48.9,14,33,42.4,12,20,60,8,35,43,21,6,7,9,29,12
ATL,10/17/2018,ATL @ NYK,L,239,107,41,90,45.6,10,36,27.8,15,18,83.3,7,38,45,19,7,3,24,30,-19
LAC,10/17/2018,LAC vs. DEN,L,240,98,35,88,39.8,8,28,28.6,20,24,83.3,9,38,47,21,3,9,12,32,-9
MIL,10/17/2018,MIL @ CHA,W,240,113,42,85,49.4,14,34,41.2,15,20,75,11,46,57,26,5,4,21,25,1
IND,10/17/2018,IND vs. MEM,W,240,111,47,83,56.6,10,26,38.5,7,13,53.8,13,44,57,29,2,7,20,24,28
MIA,10/18/2018,MIA @ WAS,W,238,113,38,97,39.2,12,35,34.3,25,34,73.5,22,33,55,25,6,5,16,26,1
PHI,10/18/2018,PHI vs. CHI,W,240,127,44,93,47.3,12,36,33.3,27,30,90,11,44,55,30,10,8,13,17,19
WAS,10/18/2018,WAS vs. MIA,L,241,112,38,81,46.9,7,26,26.9,29,39,74.4,7,33,40,19,7,15,14,31,-1
CHI,10/18/2018,CHI @ PHI,L,240,108,44,101,43.6,11,33,33.3,9,12,75,5,34,39,28,4,6,12,23,-19
LAL,10/18/2018,LAL @ POR,L,239,119,45,93,48.4,7,30,23.3,22,29,75.9,8,38,46,23,10,6,15,26,-9
POR,10/18/2018,POR vs. LAL,W,239,128,44,100,44,13,37,35.1,27,29,93.1,14,40,54,21,9,10,16,26,9
NYK,10/19/2018,NYK @ BKN,L,239,105,39,97,40.2,9,28,32.1,18,20,90,12,24,36,14,10,1,3,19,-2
CHA,10/19/2018,CHA @ ORL,W,239,120,43,92,46.7,17,38,44.7,17,20,85,12,43,55,32,6,4,15,17,32
GSW,10/19/2018,GSW @ UTA,W,240,124,49,87,56.3,10,19,52.6,16,18,88.9,8,35,43,27,10,6,16,23,1
UTA,10/19/2018,UTA vs. GSW,L,242,123,40,89,44.9,19,46,41.3,24,29,82.8,10,28,38,24,11,4,16,19,-1
OKC,10/19/2018,OKC @ LAC,L,240,92,34,95,35.8,7,33,21.2,17,23,73.9,15,37,52,18,5,4,12,29,-16
IND,10/19/2018,IND @ MIL,L,239,101,38,87,43.7,6,18,33.3,19,27,70.4,9,32,41,14,7,3,17,25,-17
CLE,10/19/2018,CLE @ MIN,L,240,123,45,93,48.4,8,23,34.8,25,29,86.2,13,30,43,26,5,2,14,24,-8
LAC,10/19/2018,LAC vs. OKC,W,239,108,35,81,43.2,11,26,42.3,27,36,75,10,38,48,21,3,3,14,24,16
SAC,10/19/2018,SAC @ NOP,L,241,129,50,96,52.1,10,25,40,19,26,73.1,9,30,39,24,6,2,13,26,-20
ATL,10/19/2018,ATL @ MEM,L,238,117,41,83,49.4,14,30,46.7,21,36,58.3,11,29,40,27,9,5,19,31,-14
BOS,10/19/2018,BOS @ TOR,L,240,101,40,99,40.4,14,36,38.9,7,10,70,16,33,49,29,4,6,14,27,-12
MIN,10/19/2018,MIN vs. CLE,W,240,131,44,87,50.6,10,25,40,33,35,94.3,9,31,40,28,9,7,13,21,8
TOR,10/19/2018,TOR vs. BOS,W,239,113,43,92,46.7,13,35,37.1,14,19,73.7,12,37,49,24,3,3,12,19,12
ORL,10/19/2018,ORL vs. CHA,L,240,88,36,94,38.3,6,31,19.4,10,14,71.4,12,32,44,18,8,7,15,16,-32
MIL,10/19/2018,MIL vs. IND,W,240,118,44,93,47.3,17,46,37,13,21,61.9,11,39,50,27,9,8,17,26,17
MEM,10/19/2018,MEM vs. ATL,W,241,131,44,81,54.3,13,26,50,30,43,69.8,7,34,41,32,9,4,16,29,14
NOP,10/19/2018,NOP vs. SAC,W,240,149,56,95,58.9,16,31,51.6,21,33,63.6,12,40,52,35,6,4,16,25,20
BKN,10/19/2018,BKN vs. NYK,W,240,107,37,75,49.3,12,30,40,21,24,87.5,12,43,55,22,2,6,22,23,2
TOR,10/20/2018,TOR @ WAS,W,240,117,39,88,44.3,10,29,34.5,29,36,80.6,14,38,52,21,5,5,17,29,4
DEN,10/20/2018,DEN vs. PHX,W,241,119,43,85,50.6,9,28,32.1,24,29,82.8,9,45,54,28,12,6,18,31,28
ORL,10/20/2018,ORL @ PHI,L,241,115,41,90,45.6,16,29,55.2,17,22,77.3,14,35,49,31,7,7,14,15,-1
DET,10/20/2018,DET @ CHI,W,241,118,41,101,40.6,18,40,45,18,23,78.3,18,31,49,21,4,4,9,23,2
IND,10/20/2018,IND vs. BKN,W,241,132,51,92,55.4,16,24,66.7,14,22,63.6,10,30,40,21,12,5,10,18,20
WAS,10/20/2018,WAS vs. TOR,L,239,113,37,89,41.6,13,39,33.3,26,32,81.3,9,28,37,20,11,9,11,27,-4
LAL,10/20/2018,LAL vs. HOU,L,240,115,48,100,48,8,32,25,11,18,61.1,9,35,44,28,8,10,10,21,-9
NYK,10/20/2018,NYK vs. BOS,L,238,101,36,87,41.4,12,35,34.3,17,27,63,11,35,46,23,8,1,16,25,-2
POR,10/20/2018,POR vs. SAS,W,240,121,45,84,53.6,15,32,46.9,16,19,84.2,8,38,46,24,5,3,12,14,13
DAL,10/20/2018,DAL vs. MIN,W,239,140,49,98,50,17,50,34,25,34,73.5,15,27,42,29,8,8,16,28,4
BOS,10/20/2018,BOS @ NYK,W,240,103,33,82,40.2,9,25,36,28,33,84.8,11,36,47,21,8,2,15,26,2
SAS,10/20/2018,SAS @ POR,L,239,108,42,100,42,13,30,43.3,11,14,78.6,15,25,40,29,5,4,6,17,-13
CHI,10/20/2018,CHI vs. DET,L,241,116,44,87,50.6,7,21,33.3,21,26,80.8,5,36,41,26,4,3,11,20,-2
CHA,10/20/2018,CHA @ MIA,W,240,113,41,93,44.1,16,42,38.1,15,23,65.2,12,28,40,23,6,12,11,27,1
PHX,10/20/2018,PHX @ DEN,L,241,91,29,77,37.7,11,39,28.2,22,35,62.9,10,30,40,20,6,4,19,26,-28
PHI,10/20/2018,PHI vs. ORL,W,241,116,45,94,47.9,17,33,51.5,9,10,90,13,33,46,33,8,3,10,21,1
BKN,10/20/2018,BKN @ IND,L,242,112,41,86,47.7,16,37,43.2,14,22,63.6,9,31,40,25,6,6,20,18,-20
MIN,10/20/2018,MIN @ DAL,L,240,136,44,84,52.4,14,27,51.9,34,40,85,6,27,33,23,10,3,17,30,-4
HOU,10/20/2018,HOU @ LAL,W,241,124,44,96,45.8,16,42,38.1,20,30,66.7,13,41,54,22,7,4,16,21,9
MIA,10/20/2018,MIA vs. CHA,L,240,112,41,89,46.1,11,34,32.4,19,27,70.4,12,37,49,21,4,11,15,27,-1
GSW,10/21/2018,GSW @ DEN,L,239,98,36,79,45.6,7,29,24.1,19,24,79.2,6,34,40,22,4,6,18,29,-2
OKC,10/21/2018,OKC vs. SAC,L,240,120,46,104,44.2,9,39,23.1,19,30,63.3,18,33,51,23,11,9,18,29,-11
LAC,10/21/2018,LAC vs. HOU,W,240,115,42,89,47.2,5,25,20,26,26,100,12,37,49,22,8,7,13,16,3
