PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
Torrey Craig,PHX,07/20/2021,PHX @ MIL,L,1,0,0
Pat Connaughton,MIL,07/20/2021,MIL vs. PHX,W,23,0,-21
P.J. Tucker,MIL,07/20/2021,MIL vs. PHX,W,36,0,13
Mikal Bridges,PHX,07/20/2021,PHX @ MIL,L,39,7,-18
Khris Middleton,MIL,07/20/2021,MIL vs. PHX,W,41,17,11
Jrue Holiday,MIL,07/20/2021,MIL vs. PHX,W,46,12,12
Jeff Teague,MIL,07/20/2021,MIL vs. PHX,W,2,0,-5
Jae Crowder,PHX,07/20/2021,PHX @ MIL,L,41,15,4
Giannis Antetokounmpo,MIL,07/20/2021,MIL vs. PHX,W,42,50,10
Frank Kaminsky,PHX,07/20/2021,PHX @ MIL,L,11,6,0
Devin Booker,PHX,07/20/2021,PHX @ MIL,L,46,19,-15
Deandre Ayton,PHX,07/20/2021,PHX @ MIL,L,36,12,-7
Chris Paul,PHX,07/20/2021,PHX @ MIL,L,39,26,-8
Cameron Payne,PHX,07/20/2021,PHX @ MIL,L,10,10,9
Cameron Johnson,PHX,07/20/2021,PHX @ MIL,L,16,3,0
Brook Lopez,MIL,07/20/2021,MIL vs. PHX,W,27,10,9
Bobby Portis,MIL,07/20/2021,MIL vs. PHX,W,23,16,6
Torrey Craig,PHX,07/17/2021,PHX vs. MIL,L,9,3,-7
Pat Connaughton,MIL,07/17/2021,MIL @ PHX,W,33,14,10
P.J. Tucker,MIL,07/17/2021,MIL @ PHX,W,24,3,-7
Mikal Bridges,PHX,07/17/2021,PHX vs. MIL,L,33,13,5
Khris Middleton,MIL,07/17/2021,MIL @ PHX,W,44,29,4
Jrue Holiday,MIL,07/17/2021,MIL @ PHX,W,42,27,14
Jeff Teague,MIL,07/17/2021,MIL @ PHX,W,8,0,-11
Jae Crowder,PHX,07/17/2021,PHX vs. MIL,L,40,10,-7
Giannis Antetokounmpo,MIL,07/17/2021,MIL @ PHX,W,41,32,-7
Devin Booker,PHX,07/17/2021,PHX vs. MIL,L,42,40,12
Deandre Ayton,PHX,07/17/2021,PHX vs. MIL,L,45,20,6
Chris Paul,PHX,07/17/2021,PHX vs. MIL,L,35,21,-6
Cameron Payne,PHX,07/17/2021,PHX vs. MIL,L,15,6,-4
Cameron Johnson,PHX,07/17/2021,PHX vs. MIL,L,22,6,-19
Brook Lopez,MIL,07/17/2021,MIL @ PHX,W,29,9,10
Bobby Portis,MIL,07/17/2021,MIL @ PHX,W,19,9,7
Torrey Craig,PHX,07/14/2021,PHX @ MIL,L,15,4,4
Pat Connaughton,MIL,07/14/2021,MIL vs. PHX,W,32,11,21
P.J. Tucker,MIL,07/14/2021,MIL vs. PHX,W,29,0,-3
Mikal Bridges,PHX,07/14/2021,PHX @ MIL,L,25,7,-3
Khris Middleton,MIL,07/14/2021,MIL vs. PHX,W,43,40,10
Jrue Holiday,MIL,07/14/2021,MIL vs. PHX,W,43,13,8
Jeff Teague,MIL,07/14/2021,MIL vs. PHX,W,11,2,-3
Jae Crowder,PHX,07/14/2021,PHX @ MIL,L,39,15,-5
Giannis Antetokounmpo,MIL,07/14/2021,MIL vs. PHX,W,43,26,3
Devin Booker,PHX,07/14/2021,PHX @ MIL,L,39,42,0
Deandre Ayton,PHX,07/14/2021,PHX @ MIL,L,39,6,-7
Chris Paul,PHX,07/14/2021,PHX @ MIL,L,37,10,-10
Cameron Payne,PHX,07/14/2021,PHX @ MIL,L,17,9,0
Cameron Johnson,PHX,07/14/2021,PHX @ MIL,L,29,10,-9
Brook Lopez,MIL,07/14/2021,MIL vs. PHX,W,19,14,-13
Bobby Portis,MIL,07/14/2021,MIL vs. PHX,W,20,3,7
Ty-Shon Alexander,PHX,07/11/2021,PHX @ MIL,L,1,2,-1
Torrey Craig,PHX,07/11/2021,PHX @ MIL,L,15,2,-12
Thanasis Antetokounmpo,MIL,07/11/2021,MIL vs. PHX,W,2,0,1
Sam Merrill,MIL,07/11/2021,MIL vs. PHX,W,1,0,1
Pat Connaughton,MIL,07/11/2021,MIL vs. PHX,W,30,8,3
P.J. Tucker,MIL,07/11/2021,MIL vs. PHX,W,30,7,12
Mikal Bridges,PHX,07/11/2021,PHX @ MIL,L,27,4,-1
Khris Middleton,MIL,07/11/2021,MIL vs. PHX,W,41,18,8
Jrue Holiday,MIL,07/11/2021,MIL vs. PHX,W,40,21,22
Jordan Nwora,MIL,07/11/2021,MIL vs. PHX,W,1,3,1
Jeff Teague,MIL,07/11/2021,MIL vs. PHX,W,14,0,9
Jae Crowder,PHX,07/11/2021,PHX @ MIL,L,33,18,-11
Giannis Antetokounmpo,MIL,07/11/2021,MIL vs. PHX,W,38,41,20
Frank Kaminsky,PHX,07/11/2021,PHX @ MIL,L,14,6,-12
Devin Booker,PHX,07/11/2021,PHX @ MIL,L,29,10,-13
Deandre Ayton,PHX,07/11/2021,PHX @ MIL,L,24,18,-6
Chris Paul,PHX,07/11/2021,PHX @ MIL,L,34,19,-13
Cameron Payne,PHX,07/11/2021,PHX @ MIL,L,25,7,-18
Cameron Johnson,PHX,07/11/2021,PHX @ MIL,L,30,14,-8
Bryn Forbes,MIL,07/11/2021,MIL vs. PHX,W,4,0,-2
Brook Lopez,MIL,07/11/2021,MIL vs. PHX,W,21,11,6
Bobby Portis,MIL,07/11/2021,MIL vs. PHX,W,18,11,19
Abdel Nader,PHX,07/11/2021,PHX @ MIL,L,7,0,-5
Torrey Craig,PHX,07/08/2021,PHX vs. MIL,W,8,6,1
Pat Connaughton,MIL,07/08/2021,MIL @ PHX,L,34,14,-14
P.J. Tucker,MIL,07/08/2021,MIL @ PHX,L,35,7,-5
Mikal Bridges,PHX,07/08/2021,PHX vs. MIL,W,38,27,7
Khris Middleton,MIL,07/08/2021,MIL @ PHX,L,41,11,-15
Jrue Holiday,MIL,07/08/2021,MIL @ PHX,L,39,17,-3
Jeff Teague,MIL,07/08/2021,MIL @ PHX,L,12,4,-3
Jae Crowder,PHX,07/08/2021,PHX vs. MIL,W,37,11,10
Giannis Antetokounmpo,MIL,07/08/2021,MIL @ PHX,L,40,42,3
Frank Kaminsky,PHX,07/08/2021,PHX vs. MIL,W,1,0,2
