TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
TOR,06/10/2019,TOR vs. GSW,L,238,105,-1
GSW,06/10/2019,GSW @ TOR,W,240,106,1
GSW,06/07/2019,GSW vs. TOR,L,241,92,-13
TOR,06/07/2019,TOR @ GSW,W,241,105,13
TOR,06/05/2019,TOR @ GSW,W,239,123,14
GSW,06/05/2019,GSW vs. TOR,L,241,109,-14
GSW,06/02/2019,GSW @ TOR,W,240,109,5
TOR,06/02/2019,TOR vs. GSW,L,240,104,-5
GSW,05/30/2019,GSW @ TOR,L,239,109,-9
TOR,05/30/2019,TOR vs. GSW,W,241,118,9
MIL,05/25/2019,MIL @ TOR,L,240,94,-6
TOR,05/25/2019,TOR vs. MIL,W,239,100,6
MIL,05/23/2019,MIL vs. TOR,L,240,99,-6
TOR,05/23/2019,TOR @ MIL,W,240,105,6
TOR,05/21/2019,TOR vs. MIL,W,239,120,18
MIL,05/21/2019,MIL @ TOR,L,241,102,-18
POR,05/20/2019,POR vs. GSW,L,265,117,-2
GSW,05/20/2019,GSW @ POR,W,264,119,2
MIL,05/19/2019,MIL @ TOR,L,291,112,-6
TOR,05/19/2019,TOR vs. MIL,W,290,118,6
GSW,05/18/2019,GSW @ POR,W,239,110,11
POR,05/18/2019,POR vs. GSW,L,239,99,-11
MIL,05/17/2019,MIL vs. TOR,W,240,125,22
TOR,05/17/2019,TOR @ MIL,L,240,103,-22
POR,05/16/2019,POR @ GSW,L,241,111,-3
GSW,05/16/2019,GSW vs. POR,W,242,114,3
MIL,05/15/2019,MIL vs. TOR,W,241,108,8
TOR,05/15/2019,TOR @ MIL,L,239,100,-8
POR,05/14/2019,POR @ GSW,L,242,94,-22
GSW,05/14/2019,GSW vs. POR,W,240,116,22
PHI,05/12/2019,PHI @ TOR,L,239,90,-2
TOR,05/12/2019,TOR vs. PHI,W,239,92,2
DEN,05/12/2019,DEN vs. POR,L,240,96,-4
POR,05/12/2019,POR @ DEN,W,239,100,4
HOU,05/10/2019,HOU vs. GSW,L,240,113,-5
GSW,05/10/2019,GSW @ HOU,W,241,118,5
PHI,05/09/2019,PHI vs. TOR,W,243,112,11
TOR,05/09/2019,TOR @ PHI,L,242,101,-11
POR,05/09/2019,POR vs. DEN,W,241,119,11
DEN,05/09/2019,DEN @ POR,L,240,108,-11
MIL,05/08/2019,MIL vs. BOS,W,240,116,25
BOS,05/08/2019,BOS @ MIL,L,240,91,-25
HOU,05/08/2019,HOU @ GSW,L,239,99,-5
GSW,05/08/2019,GSW vs. HOU,W,240,104,5
DEN,05/07/2019,DEN vs. POR,W,239,124,26
