TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
TOR,10/22/2019,TOR vs. NOP,W,265,130,8
NOP,10/22/2019,NOP @ TOR,L,265,122,-8
LAL,10/22/2019,LAL @ LAC,L,238,102,-10
LAC,10/22/2019,LAC vs. LAL,W,239,112,10
WAS,10/23/2019,WAS @ DAL,L,241,100,-8
UTA,10/23/2019,UTA vs. OKC,W,241,100,5
SAS,10/23/2019,SAS vs. NYK,W,240,120,9
SAC,10/23/2019,SAC @ PHX,L,240,95,-29
POR,10/23/2019,POR vs. DEN,L,240,100,-8
PHX,10/23/2019,PHX vs. SAC,W,239,124,29
PHI,10/23/2019,PHI vs. BOS,W,240,107,14
ORL,10/23/2019,ORL vs. CLE,W,239,94,9
OKC,10/23/2019,OKC @ UTA,L,241,95,-5
NYK,10/23/2019,NYK @ SAS,L,239,111,-9
MIN,10/23/2019,MIN @ BKN,W,266,127,1
MIA,10/23/2019,MIA vs. MEM,W,240,120,19
MEM,10/23/2019,MEM @ MIA,L,240,101,-19
IND,10/23/2019,IND vs. DET,L,241,110,-9
DET,10/23/2019,DET @ IND,W,241,119,9
DEN,10/23/2019,DEN @ POR,W,239,108,8
DAL,10/23/2019,DAL vs. WAS,W,240,108,8
CLE,10/23/2019,CLE @ ORL,L,240,85,-9
CHI,10/23/2019,CHI @ CHA,L,239,125,-1
CHA,10/23/2019,CHA vs. CHI,W,240,126,1
BOS,10/23/2019,BOS @ PHI,L,240,93,-14
BKN,10/23/2019,BKN vs. MIN,L,264,126,-1
MIL,10/24/2019,MIL @ HOU,W,240,117,6
LAC,10/24/2019,LAC @ GSW,W,239,141,19
HOU,10/24/2019,HOU vs. MIL,L,240,111,-6
GSW,10/24/2019,GSW vs. LAC,L,238,122,-19
DET,10/24/2019,DET vs. ATL,L,240,100,-17
ATL,10/24/2019,ATL @ DET,W,239,117,17
WAS,10/25/2019,WAS @ OKC,W,240,97,12
UTA,10/25/2019,UTA @ LAL,L,239,86,-9
TOR,10/25/2019,TOR @ BOS,L,241,106,-6
SAC,10/25/2019,SAC vs. POR,L,241,112,-10
POR,10/25/2019,POR @ SAC,W,240,122,10
PHX,10/25/2019,PHX @ DEN,L,265,107,-1
OKC,10/25/2019,OKC vs. WAS,L,240,85,-12
NYK,10/25/2019,NYK @ BKN,L,241,109,-4
NOP,10/25/2019,NOP vs. DAL,L,239,116,-7
MIN,10/25/2019,MIN @ CHA,W,240,121,22
MEM,10/25/2019,MEM vs. CHI,L,239,102,-8
LAL,10/25/2019,LAL vs. UTA,W,239,95,9
DEN,10/25/2019,DEN vs. PHX,W,266,108,1
DAL,10/25/2019,DAL @ NOP,W,241,123,7
CHI,10/25/2019,CHI @ MEM,W,240,110,8
CHA,10/25/2019,CHA vs. MIN,L,241,99,-22
BOS,10/25/2019,BOS vs. TOR,W,240,112,6
BKN,10/25/2019,BKN vs. NYK,W,239,113,4
WAS,10/26/2019,WAS @ SAS,L,239,122,-2
UTA,10/26/2019,UTA vs. SAC,W,240,113,32
TOR,10/26/2019,TOR @ CHI,W,242,108,24
SAS,10/26/2019,SAS vs. WAS,W,240,124,2
SAC,10/26/2019,SAC @ UTA,L,240,81,-32
PHX,10/26/2019,PHX vs. LAC,W,240,130,8
PHI,10/26/2019,PHI @ DET,W,239,117,6
ORL,10/26/2019,ORL @ ATL,L,240,99,-4
NYK,10/26/2019,NYK vs. BOS,L,241,95,-23
NOP,10/26/2019,NOP @ HOU,L,240,123,-3
MIL,10/26/2019,MIL vs. MIA,L,265,126,-5
MIA,10/26/2019,MIA @ MIL,W,266,131,5
LAC,10/26/2019,LAC @ PHX,L,239,122,-8
IND,10/26/2019,IND @ CLE,L,241,99,-11
HOU,10/26/2019,HOU vs. NOP,W,240,126,3
DET,10/26/2019,DET vs. PHI,L,240,111,-6
CLE,10/26/2019,CLE vs. IND,W,239,110,11
CHI,10/26/2019,CHI vs. TOR,L,240,84,-24
BOS,10/26/2019,BOS @ NYK,W,242,118,23
ATL,10/26/2019,ATL vs. ORL,W,242,103,4
POR,10/27/2019,POR @ DAL,W,240,121,2
OKC,10/27/2019,OKC vs. GSW,W,240,120,28
MIN,10/27/2019,MIN vs. MIA,W,241,116,7
MIA,10/27/2019,MIA @ MIN,L,239,109,-7
MEM,10/27/2019,MEM vs. BKN,W,267,134,1
LAL,10/27/2019,LAL vs. CHA,W,239,120,19
