,Home,Away,W_PCT,REB,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,TS_PCT,Result,Date
0,Phoenix Suns,Denver Nuggets,-3.0066061593143236,-3.0706903516416806,1.5644511880480843,-2.808224244698197,-2.3139549909308856,1.9377199618072776,-0.3201404628201636,0,12/29/2018
1,LA Clippers,San Antonio Spurs,0.5191262433348469,-0.13350827615833272,2.1166104308885862,-0.08139780419415066,0.09380898611881872,0.18454475826735806,0.7683371107683927,0,12/29/2018
2,Portland Trail Blazers,Golden State Warriors,-0.49028589648291165,1.1570717267055617,0.09202654047341643,-0.7529296887958933,-0.8130112130297682,0.3383320568234913,-1.9208427769209748,0,12/29/2018
3,Milwaukee Bucks,Brooklyn Nets,1.7808914181070448,1.6020993139000084,-0.4601327023670838,1.8924989475140022,0.9380898611881962,-1.9069625020960483,1.408618036408713,1,12/29/2018
4,Utah Jazz,New York Knicks,1.6006392502824454,-0.40052482847500126,1.6564777285215024,1.7500527901742386,0.12507864815842784,-2.3068094783419983,1.9208427769209817,1,12/29/2018
5,Atlanta Hawks,Cleveland Cavaliers,0.5191262433348471,-1.3350827615833398,3.2209289165695885,0.24419341258245164,-0.6879325648713447,-1.3533282272939737,1.0884775735885563,1,12/29/2018
6,Washington Wizards,Charlotte Hornets,-1.0022020531047746,-2.091629659813897,1.2883715666278333,-1.4448110244461738,-0.9380898611881962,1.1380260093153867,0.1920842776920982,1,12/29/2018
7,Memphis Grizzlies,Boston Celtics,-0.42539511606605485,-1.9136186249361222,1.012291945207584,-1.2006176118637217,-1.4696741158615083,0.15378729855613327,-0.38416855538419636,0,12/29/2018
8,New Orleans Pelicans,Houston Rockets,-0.829159971993159,1.1570717267055586,-0.6441857833139184,-0.08139780419415063,-0.12507864815842784,0.09227237913367903,-0.19208427769209813,0,12/29/2018
9,Los Angeles Lakers,Sacramento Kings,0.0930024869132986,0.9976288648382584,1.6117420854404254,0.6296659573791341,-0.28305390682116965,-1.2219663450786689,0.19008612755680293,1,12/30/2018
10,Orlando Magic,Detroit Pistons,-0.3147776480142411,-1.2243626977560482,-0.75846686373667,-0.38592429645817905,-0.3774052090948913,0.24439326901573294,0.5068963401514934,1,12/30/2018
11,Miami Heat,Minnesota Timberwolves,0.307623610559372,1.8138706633422919,1.611742085440427,0.1828062456907164,-0.817711286372261,-1.191417186451704,-0.8870685952651134,0,12/30/2018
12,Portland Trail Blazers,Philadelphia 76ers,-0.5937851087541366,0.6802014987533593,-0.47404178983541945,-0.6093541523023879,-0.18870260454744792,0.7942781243011332,-1.2672408503787265,1,12/30/2018
13,Dallas Mavericks,Oklahoma City Thunder,-1.2591105920569652,-1.1336691645889323,0.6636585057695882,-1.1171492792210445,0.3145043409124087,2.0773427866337406,1.4573269779355362,1,12/30/2018
14,Toronto Raptors,Chicago Bulls,3.0404659183193745,1.3604029975067187,-1.3273170115391746,2.9655235412049543,3.6167999204927,-0.7942781243011374,2.5978437432763966,1,12/30/2018
15,San Antonio Spurs,Boston Celtics,-0.42323967886763886,0.0,-0.7496882837467498,-0.7980634330780942,0.5674033600096391,1.628386262889321,0.5770964582487792,1,12/31/2018
16,Phoenix Suns,Golden State Warriors,-2.9124628749196875,-2.0413959557551333,1.499376567493501,-2.5374324538893256,-2.8370168000482003,1.0446251497780574,-2.4366294903837575,0,12/31/2018
17,Houston Rockets,Memphis Grizzlies,0.4088925711094138,1.0433801551637365,0.5622662128100643,0.3069474742608055,2.3011358489279834,1.9049046848893965,1.090071087803256,1,12/31/2018
18,Indiana Pacers,Atlanta Hawks,2.5322645193267235,0.9980158005913998,-2.2490648512402522,2.967158917854453,1.576120444471222,-2.7651842200007355,1.090071087803256,1,12/31/2018
19,Charlotte Hornets,Orlando Magic,0.2080330624942632,-0.09072870914467063,-1.780509673898533,1.1254740722896202,1.9859117600337393,0.27651842200007526,1.282436573886192,1,12/31/2018
20,New Orleans Pelicans,Minnesota Timberwolves,-0.28694215516450106,0.9980158005913966,1.2182434610884705,0.10231582475360185,0.851105040014461,0.6759339204446206,1.1541929164975655,1,12/31/2018
21,Oklahoma City Thunder,Dallas Mavericks,1.025818204713092,0.9526514460190596,-1.0308213901517818,1.064084577437459,-0.31522408889424447,-1.9970774922227532,-1.5389238886634233,1,12/31/2018
22,LA Clippers,Philadelphia 76ers,-0.27608770799534166,-0.5941805300865912,-0.2745181208056017,-0.16142078111083347,0.6208227610732577,0.8877755024073899,0.563511697158283,0,01/01/2019
23,Milwaukee Bucks,Detroit Pistons,1.720238795970973,0.8684176978188604,-0.7320483221482685,2.098470154440835,2.1107973876490753,-1.071453192560646,3.193232950563597,1,01/01/2019
24,Sacramento Kings,Portland Trail Blazers,-0.2831668799952214,-2.6052530934565814,-1.1895785234909368,-0.44390714805479203,-0.18624682832197553,0.4285812770242559,0.1878372323860943,0,01/01/2019
25,Denver Nuggets,New York Knicks,3.065281475948278,1.4168920332834056,0.45753020134266836,2.703798083606461,1.6762214548977976,-2.2959711269156706,1.690535091474849,1,01/01/2019
26,Toronto Raptors,Utah Jazz,1.5928136999731233,0.4570619462204532,-1.6471087248336067,0.7465711126376048,1.5210157646294789,0.4285812770242603,0.5635116971582761,1,01/01/2019
