PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
Andre Iguodala,GSW,06/16/2022,GSW @ BOS,W,1,0,0
Al Horford,BOS,06/16/2022,BOS vs. GSW,L,39,19,2
Stephen Curry,GSW,06/16/2022,GSW @ BOS,W,40,34,8
Otto Porter Jr.,GSW,06/16/2022,GSW @ BOS,W,13,6,3
Nik Stauskas,BOS,06/16/2022,BOS vs. GSW,L,1,0,-2
Kevon Looney,GSW,06/16/2022,GSW @ BOS,W,22,0,0
Jayson Tatum,BOS,06/16/2022,BOS vs. GSW,L,40,13,-2
Luke Kornet,BOS,06/16/2022,BOS vs. GSW,L,1,0,-2
Juwan Morgan,BOS,06/16/2022,BOS vs. GSW,L,1,0,0
Aaron Nesmith,BOS,06/16/2022,BOS vs. GSW,L,1,0,-2
Payton Pritchard,BOS,06/16/2022,BOS vs. GSW,L,8,0,-20
Sam Hauser,BOS,06/16/2022,BOS vs. GSW,L,1,0,-2
Klay Thompson,GSW,06/16/2022,GSW @ BOS,W,41,12,4
Draymond Green,GSW,06/16/2022,GSW @ BOS,W,42,12,16
Marcus Smart,BOS,06/16/2022,BOS vs. GSW,L,38,9,7
Andrew Wiggins,GSW,06/16/2022,GSW @ BOS,W,44,18,5
Jaylen Brown,BOS,06/16/2022,BOS vs. GSW,L,44,34,1
Gary Payton II,GSW,06/16/2022,GSW @ BOS,W,20,6,18
Derrick White,BOS,06/16/2022,BOS vs. GSW,L,16,2,-26
Robert Williams III,BOS,06/16/2022,BOS vs. GSW,L,33,10,-1
Jordan Poole,GSW,06/16/2022,GSW @ BOS,W,18,15,11
Grant Williams,BOS,06/16/2022,BOS vs. GSW,L,16,3,-18
Andre Iguodala,GSW,06/13/2022,GSW vs. BOS,W,4,0,-4
Nemanja Bjelica,GSW,06/13/2022,GSW vs. BOS,W,5,0,-9
Otto Porter Jr.,GSW,06/13/2022,GSW vs. BOS,W,15,2,6
Nik Stauskas,BOS,06/13/2022,BOS @ GSW,L,1,0,6
Marcus Smart,BOS,06/13/2022,BOS @ GSW,L,40,20,-9
Damion Lee,GSW,06/13/2022,GSW vs. BOS,W,1,0,-6
Luke Kornet,BOS,06/13/2022,BOS @ GSW,L,1,3,6
Robert Williams III,BOS,06/13/2022,BOS @ GSW,L,30,10,11
Juan Toscano-Anderson,GSW,06/13/2022,GSW vs. BOS,W,1,0,-6
Payton Pritchard,BOS,06/13/2022,BOS @ GSW,L,5,0,0
Jonathan Kuminga,GSW,06/13/2022,GSW vs. BOS,W,1,0,-6
Moses Moody,GSW,06/13/2022,GSW vs. BOS,W,1,0,-6
Sam Hauser,BOS,06/13/2022,BOS @ GSW,L,1,0,6
Gary Payton II,GSW,06/13/2022,GSW vs. BOS,W,26,15,16
Al Horford,BOS,06/13/2022,BOS @ GSW,L,33,9,-19
Klay Thompson,GSW,06/13/2022,GSW vs. BOS,W,40,21,13
Kevon Looney,GSW,06/13/2022,GSW vs. BOS,W,17,2,12
Jaylen Brown,BOS,06/13/2022,BOS @ GSW,L,44,18,-19
Jayson Tatum,BOS,06/13/2022,BOS @ GSW,L,44,27,-13
Derrick White,BOS,06/13/2022,BOS @ GSW,L,21,1,-13
Jordan Poole,GSW,06/13/2022,GSW vs. BOS,W,14,14,2
Grant Williams,BOS,06/13/2022,BOS @ GSW,L,16,3,-18
Juwan Morgan,BOS,06/13/2022,BOS @ GSW,L,1,0,6
Aaron Nesmith,BOS,06/13/2022,BOS @ GSW,L,1,3,6
Draymond Green,GSW,06/13/2022,GSW vs. BOS,W,35,8,11
Andrew Wiggins,GSW,06/13/2022,GSW vs. BOS,W,43,26,12
Stephen Curry,GSW,06/13/2022,GSW vs. BOS,W,37,16,15
Al Horford,BOS,06/10/2022,BOS vs. GSW,L,28,8,-11
Stephen Curry,GSW,06/10/2022,GSW @ BOS,W,41,43,11
Otto Porter Jr.,GSW,06/10/2022,GSW @ BOS,W,15,2,-1
Marcus Smart,BOS,06/10/2022,BOS vs. GSW,L,40,18,-17
Kevon Looney,GSW,06/10/2022,GSW @ BOS,W,28,6,21
Gary Payton II,GSW,06/10/2022,GSW @ BOS,W,10,5,-1
Grant Williams,BOS,06/10/2022,BOS vs. GSW,L,13,3,-10
Nemanja Bjelica,GSW,06/10/2022,GSW @ BOS,W,9,0,-4
Klay Thompson,GSW,06/10/2022,GSW @ BOS,W,41,18,2
Draymond Green,GSW,06/10/2022,GSW @ BOS,W,33,2,0
Andrew Wiggins,GSW,06/10/2022,GSW @ BOS,W,43,17,20
Jaylen Brown,BOS,06/10/2022,BOS vs. GSW,L,40,21,0
Jayson Tatum,BOS,06/10/2022,BOS vs. GSW,L,43,23,1
Derrick White,BOS,06/10/2022,BOS vs. GSW,L,36,16,-19
Robert Williams III,BOS,06/10/2022,BOS vs. GSW,L,31,7,6
Jordan Poole,GSW,06/10/2022,GSW @ BOS,W,21,14,2
Payton Pritchard,BOS,06/10/2022,BOS vs. GSW,L,10,1,0
Andre Iguodala,GSW,06/08/2022,GSW @ BOS,L,2,0,-2
Al Horford,BOS,06/08/2022,BOS vs. GSW,W,30,11,7
Nemanja Bjelica,GSW,06/08/2022,GSW @ BOS,L,3,0,-2
Klay Thompson,GSW,06/08/2022,GSW @ BOS,L,39,25,-3
Otto Porter Jr.,GSW,06/08/2022,GSW @ BOS,L,21,6,4
Nik Stauskas,BOS,06/08/2022,BOS vs. GSW,W,2,0,0
Kevon Looney,GSW,06/08/2022,GSW @ BOS,L,17,6,-7
Jaylen Brown,BOS,06/08/2022,BOS vs. GSW,W,40,27,7
Damion Lee,GSW,06/08/2022,GSW @ BOS,L,2,0,-2
Derrick White,BOS,06/08/2022,BOS vs. GSW,W,24,7,-12
Juan Toscano-Anderson,GSW,06/08/2022,GSW @ BOS,L,2,0,-2
Juwan Morgan,BOS,06/08/2022,BOS vs. GSW,W,2,0,0
Aaron Nesmith,BOS,06/08/2022,BOS vs. GSW,W,2,0,0
Jonathan Kuminga,GSW,06/08/2022,GSW @ BOS,L,2,0,-2
Malik Fitts,BOS,06/08/2022,BOS vs. GSW,W,2,0,0
Moses Moody,GSW,06/08/2022,GSW @ BOS,L,2,0,-2
