Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,?3,?10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Milwaukee Bucks,60-22,33-8,27-14,40-12,20-Oct,13-May,14-Feb,13-May,06-Apr,06-Apr,08-Feb,43-14,17-Aug,05-Jun,45-5,7-0,08-Jun,10-Apr,12-Mar,10-Jan,10-Jun,03-Feb
2,Toronto Raptors,58-24,32-9,26-15,36-16,22-Aug,12-Apr,10-Aug,14-Apr,06-Apr,10-0,06-Apr,43-16,15-Aug,11-Jul,33-9,07-Jan,12-Mar,08-Jul,10-May,08-Jan,09-Jun,04-Jan
3,Golden State Warriors,57-25,30-Nov,27-14,22-Aug,35-17,06-Apr,08-Feb,08-Feb,12-Jun,13-Mar,10-Aug,41-16,16-Sep,07-Jul,34-10,08-Jan,07-Jul,10-May,11-Feb,07-Apr,09-May,05-Jan
4,Denver Nuggets,54-28,34-7,20-21,20-Oct,34-18,07-Mar,06-Apr,07-Mar,12-Apr,12-Jun,10-Aug,39-18,15-Oct,13-Mar,23-Nov,06-Jan,09-Jun,08-Apr,12-Apr,07-Apr,09-Jun,03-Mar
5,Houston Rockets,53-29,31-Oct,22-19,21-Sep,32-20,08-Feb,06-Apr,07-Mar,08-Oct,14-Apr,10-Jun,33-24,20-May,05-Jul,29-Dec,01-May,09-Jun,11-Apr,08-Jun,08-Apr,12-Mar,04-Jan
6,Portland Trail Blazers,53-29,32-9,21-20,24-Jun,29-23,09-Jan,08-Feb,07-Mar,06-Oct,12-Jun,11-Jul,34-23,19-Jun,04-Jun,29-Aug,05-Feb,08-Jul,08-Jul,11-Apr,06-Mar,10-May,05-Jan
7,Philadelphia 76ers,51-31,31-Oct,20-21,31-21,20-Oct,08-Aug,12-Jun,11-Jul,06-Apr,08-Feb,06-Apr,37-21,14-Oct,10-Aug,22-16,04-Apr,12-Apr,07-Jun,11-Apr,06-Apr,09-May,02-Apr
8,Utah Jazz,50-32,29-Dec,21-20,20-Oct,30-22,06-Apr,07-Mar,07-Mar,08-Aug,12-Jun,10-Aug,32-25,18-Jul,0-7,34-12,04-Mar,07-Sep,07-Jul,11-Apr,06-Mar,11-Apr,04-Feb
9,Boston Celtics,49-33,28-13,21-20,35-17,14-16,10-Jun,13-May,12-Jun,04-Jun,05-May,05-May,37-21,12-Dec,05-Jun,24-Dec,05-Feb,07-Aug,09-May,11-Apr,05-Jun,08-Jul,04-Jan
10,Oklahoma City Thunder,49-33,27-14,22-19,21-Sep,28-24,06-Apr,08-Feb,07-Mar,09-Jul,10-Aug,09-Sep,37-20,Dec-13,06-Jul,23-Dec,02-Apr,12-Mar,09-Jun,09-May,06-May,06-Oct,5-0
11,Indiana Pacers,48-34,29-Dec,19-22,33-19,15-15,09-Sep,11-May,13-May,05-May,05-May,05-May,38-20,Oct-14,06-Jun,23-16,05-Mar,08-Jun,12-Mar,07-Jul,09-Mar,04-Oct,03-Feb
12,Los Angeles Clippers,48-34,26-15,22-19,20-Oct,28-24,06-Apr,07-Mar,07-Mar,07-Nov,11-May,10-Aug,32-27,16-Jul,06-Feb,23-18,04-Mar,11-Mar,06-Sep,07-Sep,06-May,13-Feb,01-Mar
13,San Antonio Spurs,48-34,32-9,16-25,18-Dec,30-22,06-Apr,07-Mar,05-May,10-Aug,10-Aug,10-Jun,33-26,15-Aug,07-Apr,25-16,05-Feb,05-Oct,11-May,10-May,03-Jul,10-Apr,04-Jan
14,Brooklyn Nets,42-40,23-18,19-22,29-23,13-17,08-Aug,10-Aug,11-Jul,02-Aug,06-Apr,05-May,30-29,12-Nov,12-Aug,16-22,03-May,05-Oct,09-Jun,11-Apr,04-Jun,07-Jul,03-Feb
15,Orlando Magic,42-40,25-16,17-24,30-22,Dec-18,11-Jul,09-Sep,10-Jun,02-Aug,04-Jun,06-Apr,27-32,15-Aug,05-Jun,21-21,02-May,09-Jul,05-Aug,05-Nov,08-Mar,09-May,04-Jan
16,Detroit Pistons,41-41,26-15,15-26,27-25,14-16,10-Aug,08-Aug,09-Sep,04-Jun,05-May,05-May,26-30,15-Nov,06-Sep,16-21,04-Mar,08-Apr,04-Nov,06-Oct,07-Mar,10-Jun,02-Apr
17,Charlotte Hornets,39-43,25-16,14-27,29-23,Oct-20,08-Oct,11-Jul,10-Jun,02-Aug,03-Jul,05-May,27-30,01-Dec,06-Oct,21-20,04-Apr,07-Jul,07-Jul,06-Aug,04-Jul,07-Aug,04-Feb
18,Miami Heat,39-43,19-22,20-21,23-29,16-14,07-Nov,09-Sep,07-Sep,04-Jun,03-Jul,09-Jan,26-30,13-13,06-Sep,16-20,03-Apr,05-Sep,09-May,07-Jul,03-Sep,11-Apr,01-May
19,Sacramento Kings,39-43,24-17,15-26,18-Dec,21-31,03-Jul,07-Mar,08-Feb,07-Nov,04-Dec,10-Aug,30-27,Sep-16,06-Jul,16-18,05-Mar,05-Aug,09-Jun,07-Aug,05-May,07-Sep,01-Apr
20,Los Angeles Lakers,37-45,22-19,15-26,Dec-18,25-27,01-Sep,05-May,06-Apr,07-Nov,09-Jul,09-Sep,28-29,Sep-16,05-Apr,16-25,03-May,10-Apr,08-Jul,06-Sep,03-Jun,05-Nov,02-Mar
21,Minnesota Timberwolves,36-46,25-16,Nov-30,14-16,22-30,04-Jun,05-May,05-May,05-Nov,09-Sep,08-Oct,27-30,Sep-16,08-May,19-22,04-Apr,07-Jul,06-Sep,08-Jun,04-Jul,Sep-22,02-Apr
