TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
BKN,12/22/2020,BKN vs. GSW,W,242,125,26
GSW,12/22/2020,GSW @ BKN,L,240,99,-26
LAL,12/22/2020,LAL vs. LAC,L,240,109,-7
LAC,12/22/2020,LAC @ LAL,W,241,116,7
SAC,12/23/2020,SAC @ DEN,W,265,124,2
DEN,12/23/2020,DEN vs. SAC,L,265,122,-2
MIL,12/23/2020,MIL @ BOS,L,239,121,-1
BOS,12/23/2020,BOS vs. MIL,W,240,122,1
UTA,12/23/2020,UTA @ POR,W,241,120,20
POR,12/23/2020,POR vs. UTA,L,239,100,-20
NOP,12/23/2020,NOP @ TOR,W,241,113,14
TOR,12/23/2020,TOR vs. NOP,L,241,99,-14
MIA,12/23/2020,MIA @ ORL,L,241,107,-6
ORL,12/23/2020,ORL vs. MIA,W,241,113,6
CLE,12/23/2020,CLE vs. CHA,W,241,121,7
CHA,12/23/2020,CHA @ CLE,L,240,114,-7
SAS,12/23/2020,SAS @ MEM,W,240,131,12
MEM,12/23/2020,MEM vs. SAS,L,242,119,-12
IND,12/23/2020,IND vs. NYK,W,239,121,14
NYK,12/23/2020,NYK @ IND,L,239,107,-14
DET,12/23/2020,DET @ MIN,L,240,101,-10
MIN,12/23/2020,MIN vs. DET,W,241,111,10
WAS,12/23/2020,WAS @ PHI,L,241,107,-6
PHI,12/23/2020,PHI vs. WAS,W,239,113,6
DAL,12/23/2020,DAL @ PHX,L,241,102,-4
PHX,12/23/2020,PHX vs. DAL,W,241,106,4
CHI,12/23/2020,CHI vs. ATL,L,240,104,-20
ATL,12/23/2020,ATL @ CHI,W,239,124,20
DEN,12/25/2020,DEN vs. LAC,L,238,108,-13
LAC,12/25/2020,LAC @ DEN,W,239,121,13
BOS,12/25/2020,BOS vs. BKN,L,241,95,-28
BKN,12/25/2020,BKN @ BOS,W,241,123,28
GSW,12/25/2020,GSW @ MIL,L,241,99,-39
MIL,12/25/2020,MIL vs. GSW,W,241,138,39
LAL,12/25/2020,LAL vs. DAL,W,237,138,23
DAL,12/25/2020,DAL @ LAL,L,239,115,-23
NOP,12/25/2020,NOP @ MIA,L,238,98,-13
MIA,12/25/2020,MIA vs. NOP,W,237,111,13
SAS,12/26/2020,SAS vs. TOR,W,240,119,5
TOR,12/26/2020,TOR @ SAS,L,240,114,-5
ATL,12/26/2020,ATL @ MEM,W,239,122,10
MEM,12/26/2020,MEM vs. ATL,L,240,112,-10
SAC,12/26/2020,SAC vs. PHX,W,240,106,3
PHX,12/26/2020,PHX @ SAC,L,240,103,-3
PHI,12/26/2020,PHI @ NYK,W,241,109,20
NYK,12/26/2020,NYK vs. PHI,L,240,89,-20
MIN,12/26/2020,MIN @ UTA,W,241,116,5
UTA,12/26/2020,UTA vs. MIN,L,240,111,-5
CHI,12/26/2020,CHI vs. IND,L,240,106,-19
IND,12/26/2020,IND @ CHI,W,239,125,19
HOU,12/26/2020,HOU @ POR,L,266,126,-2
POR,12/26/2020,POR vs. HOU,W,264,128,2
CLE,12/26/2020,CLE @ DET,W,291,128,9
DET,12/26/2020,DET vs. CLE,L,291,119,-9
CHA,12/26/2020,CHA vs. OKC,L,239,107,-2
OKC,12/26/2020,OKC @ CHA,W,240,109,2
ORL,12/26/2020,ORL @ WAS,W,240,130,10
WAS,12/26/2020,WAS vs. ORL,L,240,120,-10
DAL,12/27/2020,DAL @ LAC,W,241,124,51
LAC,12/27/2020,LAC vs. DAL,L,241,73,-51
MIL,12/27/2020,MIL @ NYK,L,241,110,-20
NYK,12/27/2020,NYK vs. MIL,W,239,130,20
LAL,12/27/2020,LAL vs. MIN,W,242,127,36
MIN,12/27/2020,MIN @ LAL,L,240,91,-36
BKN,12/27/2020,BKN @ CHA,L,239,104,-2
CHA,12/27/2020,CHA vs. BKN,W,241,106,2
GSW,12/27/2020,GSW @ CHI,W,239,129,1
CHI,12/27/2020,CHI vs. GSW,L,239,128,-1
PHX,12/27/2020,PHX @ SAC,W,239,116,16
SAC,12/27/2020,SAC vs. PHX,L,241,100,-16
NOP,12/27/2020,NOP vs. SAS,W,239,98,3
SAS,12/27/2020,SAS @ NOP,L,239,95,-3
CLE,12/27/2020,CLE vs. PHI,W,240,118,24
